# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 12 15:18:02 2017
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
217,HIP 73695 A,HIP 73695 A,HD 133640,GJ 575 A,2MASS J15034736+4739152 A,1,1,1,1,0,0,0,15h03m47.68s,47.654014,+47d39m14.5s,12.51,0.26,-0.25,4.830,0.000,0.650,0.000,G2V+G2V,1.740,0.070
218,HIP 74395,HIP 74395,HD 134505,GJ 9512 A,2MASS J15121710-5205572,0,1,0,0,0,0,0,15h12m17.09s,-52.099247,-52d05m57.3s,35.64,0.88,-0.93,3.410,,0.920,,G8 III,,
219,HD 134987,HIP 74500,HD 134987,GJ 579.4,2MASS J15132869-2518335,1,1,1,0,0,1,2,15h13m28.93s,-25.309164,-25d18m33.0s,26.21,0.53,-0.51,6.460,0.020,0.710,0.020,G5V,1.630,0.060
220,HIP 74824,HIP 74824,HD 135379,GJ 580.1,2MASS J15173088-5848043,0,1,0,0,0,0,0,15h17m30.85s,-58.801208,-58d48m04.4s,29.63,0.64,-0.67,4.070,,0.090,,A2/3 IV/V,,
221,HD 136352,HIP 75181,HD 136352,GJ 582,2MASS J15214824-4819032,1,0,1,0,0,1,0,15h21m49.57s,-48.316959,-48d19m01.1s,14.81,0.15,-0.15,5.650,0.000,0.640,0.000,G3/5V,1.090,0.050
222,HIP 75312 A,HIP 75312 A,HD 137107,GJ 584 A,2MASS J15231232+3017162 A,1,0,0,1,0,0,0,15h23m12.23s,30.288241,+30d17m17.7s,17.86,0.18,-0.18,5.580,0.020,0.550,0.020,G2V,1.640,0.110
223,HIP 75458,HIP 75458,HD 137759,,2MASS J15245578+5857577,0,1,0,0,0,1,1,15h24m55.77s,58.966064,+58d57m57.8s,31.33,0.49,-0.51,3.290,,1.160,,K2 III,,
224,HIP 75695,HIP 75695,HD 137909,,2MASS J15274972+2906202,0,1,0,0,0,0,0,15h27m49.73s,29.105703,+29d06m20.5s,34.97,0.82,-0.86,3.680,,0.290,,A8 V: SrCrEu,,
225,HIP 76267,HIP 76267,HD 139006,GJ 9524,2MASS J15344125+2642529,1,1,0,0,0,0,0,15h34m41.19s,26.714910,+26d42m53.7s,23.01,0.23,-0.23,2.210,0.000,0.030,0.000,A0V,70.810,0.050
226,HIP 76829,HIP 76829,HD 139664,GJ 594,2MASS J15411138-4439401,1,1,0,0,0,0,0,15h41m11.52s,-44.660559,-44d39m38.0s,17.44,,,4.630,0.020,0.410,0.010,F3/5V,3.580,0.060
227,HIP 77070,HIP 77070,HD 140573,GJ 596.2,2MASS J15441605+0625324,1,1,0,0,0,0,0,15h44m16.00s,6.425520,+06d25m31.9s,22.68,,,2.610,0.020,1.170,0.020,K2III,58.780,0.060
228,HIP 77257,HIP 77257,HD 141004,GJ 598,2MASS J15462661+0721109,1,1,1,1,1,1,0,15h46m26.75s,7.353240,+07d21m11.7s,12.12,,,4.410,0.020,0.600,0.010,G0Vvar,2.220,0.060
229,HIP 77622,HIP 77622,HD 141795,GJ 3921,2MASS J15504895+0428399,1,1,0,0,0,0,0,15h50m48.89s,4.477580,+04d28m39.3s,21.60,,,3.710,0.010,0.150,0.010,Am(kA2hA5mA7V),12.880,0.100
230,HIP 77760,HIP 77760,HD 142373,GJ 602,2MASS J15524052+4227052,1,1,1,0,1,1,0,15h52m40.19s,42.449988,+42d27m00.0s,15.89,,,4.600,0.020,0.560,0.010,F9V,3.260,0.060
231,HIP 77952,HIP 77952,HD 141891,GJ 601 A,2MASS J15550857-6325507,1,1,1,0,0,0,0,15h55m08.81s,-63.429750,-63d25m47.1s,12.38,,,2.810,0.020,0.320,0.000,F0III/IV,9.430,0.060
232,HIP 78072,HIP 78072,HD 142860,GJ 603,2MASS J15562720+1539413,1,1,1,1,1,1,0,15h56m26.99s,15.664733,+15d39m53.0s,11.25,,,3.850,0.000,0.480,0.010,F6V,3.130,0.050
233,HIP 78527,HIP 78527,HD 144284,GJ 609.1,2MASS J16015340+5833544,1,1,0,0,0,0,0,16h01m53.70s,58.564437,+58d33m52.0s,21.03,,,3.990,0.020,0.530,0.010,F8IV-V,14.840,0.060
234,HD 142022 A,HIP 79242,HD 142022 A,GJ 606.1 A,2MASS J16101494-8413536,0,0,1,0,0,1,1,16h10m15.02s,-84.231613,-84d13m53.8s,35.87,0.85,-0.90,7.655,,0.800,,G9 IV-V,,
235,14 Her,HIP 79248,HD 145675,GJ 614,2MASS J16102432+4349037,1,1,1,0,0,1,1,16h10m24.21s,43.818370,+43d49m06.1s,17.57,0.18,-0.17,6.610,0.020,0.880,0.010,K0V,0.700,0.040
236,HIP 79672,HIP 79672,HD 146233,GJ 616,2MASS J16153726-0822096,1,0,1,0,0,1,0,16h15m37.13s,-8.368237,-08d22m05.7s,13.90,0.14,-0.14,5.500,0.020,0.650,0.010,G5V,1.110,0.100
237,HIP 79882,HIP 79882,HD 146791,GJ 3949,2MASS J16181928-0441327,0,1,0,0,0,0,0,16h18m19.29s,-4.692511,-04d41m33.0s,32.96,0.84,-0.88,3.230,,0.980,,G9.5 IIIb,,
238,HIP 80331,HIP 80331,HD 148387,GJ 624.1 A,2MASS J16235949+6130509 A,1,1,0,0,0,0,0,16h23m59.51s,61.514075,+61d30m50.7s,28.23,,,2.730,0.000,0.910,0.000,G8III,68.790,0.050
239,HD 147513,HIP 80337,HD 147513,GJ 620.1 A,2MASS J16240128-3911346,1,0,1,0,0,1,1,16h24m01.24s,-39.192989,-39d11m34.8s,12.78,,,5.370,0.020,0.630,0.010,G3/5V,1.030,0.060
240,HIP 80686,HIP 80686,HD 147584,GJ 624,2MASS J16282814-7005037,1,1,1,0,0,0,0,16h28m27.80s,-70.084670,-70d05m04.8s,12.12,0.12,-0.12,4.900,0.010,0.560,0.020,G0V,1.410,0.100
241,HD 150706,HIP 80902,HD 150706,GJ 632,2MASS J16311760+7947232,1,1,0,0,0,1,1,16h31m17.27s,79.789989,+79d47m24.0s,28.22,0.29,-0.28,7.020,0.020,0.610,0.010,G0,1.110,0.050
242,HIP 81300,HIP 81300,HD 149661,GJ 631,2MASS J16362142-0219281,1,0,1,1,1,1,0,16h36m21.18s,-2.323836,-02d19m25.8s,9.75,,,5.760,0.020,0.830,0.010,K1V,0.470,0.060
243,HIP 81693 A,HIP 81693 A,HD 150680,GJ 635 A,2MASS J16411728+3136093 A,1,1,1,0,0,0,0,16h41m17.48s,31.601887,+31d36m06.8s,10.72,0.11,-0.11,2.810,0.010,0.650,0.010,F9IV,7.730,0.050
244,HIP 81833,HIP 81833,HD 150997,GJ 636,2MASS J16425376+3855202,0,1,0,0,0,0,0,16h42m53.76s,38.922253,+38d55m20.1s,34.35,0.60,-0.62,3.500,,0.920,,G7.5 IIIb Fe-1,,
245,HIP 82396,HIP 82396,HD 151680,GJ 639.1,2MASS J16500982-3417355,1,1,0,0,0,0,0,16h50m10.24s,-34.292610,-34d17m33.4s,19.54,,,2.260,0.020,1.180,0.020,K2IIIB,61.070,0.060
246,HIP 82860,HIP 82860,HD 153597,GJ 648,2MASS J16560170+6508054,1,1,0,0,0,0,0,16h56m01.36s,65.134672,+65d08m04.8s,15.26,0.15,-0.15,4.880,0.020,0.480,0.010,F6Vvar,2.260,0.060
247,HIP 83000,HIP 83000,HD 153210,,2MASS J16574007+0922299,1,1,0,0,0,0,0,16h57m40.27s,9.375056,+09d22m30.2s,28.04,0.28,-0.28,3.180,0.020,1.160,0.020,K2IIIvar,53.370,0.060
248,GJ 649,HIP 83043,,GJ 649,2MASS J16580884+2544392,1,0,1,0,0,1,1,16h58m08.92s,25.745394,+25d44m43.4s,10.34,0.10,-0.10,9.660,0.010,1.480,0.010,M2,0.050,0.100
249,HD 154345,HIP 83389,HD 154345,GJ 651,2MASS J17023639+4704540,1,1,1,0,0,1,1,17h02m36.30s,47.079804,+47d04m47.3s,18.59,0.19,-0.18,6.760,0.000,0.730,0.010,G8V,0.650,0.020
250,HIP 84012 A,HIP 84012 A,HD 155125,GJ 656.1 A,2MASS J17102267-1543298 A,1,1,0,0,0,0,0,17h10m22.66s,-15.725148,-15d43m30.5s,27.09,0.55,-0.53,2.430,0.010,0.060,0.010,A2.5VA,69.380,0.070
251,HIP 84143,HIP 84143,HD 155203,GJ 657,2MASS J17120920-4314212,1,1,0,0,0,0,0,17h12m09.18s,-43.238490,-43d14m18.6s,22.53,,,3.310,0.020,0.420,0.020,F2V,20.170,0.060
252,HIP 84379,HIP 84379,HD 156164,GJ 3995 A,2MASS J17150190+2450212 A,1,1,0,0,0,0,0,17h15m01.92s,24.839587,+24d50m22.5s,23.04,,,3.120,0.000,0.080,0.000,A3IVvSB,25.630,0.050
253,HIP 84405 B,HIP 84405 B,HD 155886,GJ 663 B,2MASS J17152095-2636064 B,1,1,1,1,0,0,0,17h15m21.29s,-26.600049,-26d36m00.2s,5.95,0.06,-0.06,4.330,0.010,0.860,0.010,K1.5V,0.690,0.100
254,HIP 84478,HIP 84478,HD 156026,GJ 664,2MASS J17161340-2632444,1,0,0,1,1,0,0,17h16m13.68s,-26.543416,-26d32m36.3s,5.95,0.06,-0.06,6.330,0.020,1.160,0.020,K5.0V,0.160,0.060
255,HIP 84709,HIP 84709,HD 156384,GJ 667 A,2MASS J17185698-3459236 A,1,0,1,0,0,0,0,17h18m56.36s,-34.989572,-34d59m22.5s,6.84,0.44,-0.39,6.260,0.020,1.000,0.020,M1.5V,0.130,0.170
256,HIP 84720 A,HIP 84720 A,HD 156274,GJ 666 A,2MASS J17190373-4638109,1,1,1,0,0,0,0,17h19m02.95s,-46.636500,-46d38m11.4s,8.80,0.09,-0.09,5.520,0.020,0.790,0.020,M0V,0.520,0.060
257,HIP 84862,HIP 84862,HD 157214,GJ 672,2MASS J17203955+3228056,1,0,1,0,1,1,0,17h20m39.47s,32.470272,+32d28m13.0s,14.33,,,5.380,0.020,0.620,0.000,G0V,1.300,0.060
258,HIP 84893,HIP 84893,HD 156897,GJ 670 A,2MASS J17210038-2106463 A,1,1,0,0,0,0,0,17h21m00.21s,-21.112435,-21d06m44.8s,17.36,,,4.390,0.020,0.370,0.020,F2/3V,4.420,0.100
259,HIP 85340,HIP 85340,HD 157792,GJ 673.1,2MASS J17262221-2410308,1,1,0,0,0,0,0,17h26m22.22s,-24.175023,-24d10m30.1s,25.50,0.26,-0.25,4.150,0.020,0.280,0.000,A3MF0(IV),11.620,0.100
260,GJ 676 A,HIP 85647,,GJ 676 A,2MASS J17301119-5138132,1,0,1,0,0,1,3,17h30m11.45s,-51.636525,-51d38m11.5s,16.45,0.51,-0.48,9.590,0.010,1.440,0.010,M0,0.110,0.080
261,HIP 85667 A,HIP 85667 A,HD 158614 A,GJ 678 A,2MASS J17302380-0103459 A,1,0,1,1,0,0,0,17h30m23.87s,-1.062504,-01d03m45.0s,16.34,0.17,-0.16,5.310,0.010,0.720,0.010,G6V,1.900,0.110
262,HIP 86032,HIP 86032,HD 159561,GJ 681,2MASS J17345606+1233361,1,1,1,0,0,0,0,17h34m56.00s,12.560576,+12d33m38.1s,14.90,0.30,-0.29,2.080,0.000,0.160,0.000,A5III,26.870,0.040
263,HIP 86201,HIP 86201,HD 160922,GJ 4017,2MASS J17365709+6845282,1,1,0,0,0,0,0,17h36m57.09s,68.757189,+68d45m25.9s,23.16,,,4.770,0.020,0.430,0.010,F5V,5.610,0.100
264,HIP 86486,HIP 86486,HD 160032,GJ 686.2,2MASS J17402381-4924560,1,1,0,0,0,0,0,17h40m23.73s,-49.415155,-49d24m54.6s,21.45,0.22,-0.21,4.750,0.020,0.400,0.020,F2V,4.860,0.110
265,HIP 86614,HIP 86614,HD 162003,GJ 694.1 A,2MASS J17415635+7208561,1,1,0,0,0,0,0,17h41m56.31s,72.149499,+72d08m58.2s,22.84,0.23,-0.23,4.550,0.020,0.430,0.020,F5IV-V,6.720,0.070
266,HIP 86736,HIP 86736,HD 160915,GJ 692,2MASS J17432580-2140593,1,1,0,0,1,0,0,17h43m25.85s,-21.683086,-21d40m59.1s,17.65,,,4.860,0.020,0.470,0.020,F6/7V,3.020,0.100
267,HIP 86742,HIP 86742,HD 161096,,2MASS J17432835+0434022,1,1,0,0,0,0,0,17h43m28.38s,4.566917,+04d34m00.9s,25.09,,,2.750,0.020,1.190,0.020,K2III,63.860,0.060
268,HD 160691,HIP 86796,HD 160691,GJ 691,2MASS J17440870-5150027,1,1,1,0,0,1,4,17h44m08.72s,-51.833588,-51d50m00.9s,15.51,,,5.120,0.020,0.690,0.020,G3IV/V,2.010,0.100
269,HIP 86974,HIP 86974,HD 161797,GJ 695 A,2MASS J17462752+2743142,1,1,1,1,0,1,0,17h46m27.72s,27.722499,+27d43m21.0s,8.31,,,3.410,0.020,0.750,0.020,G5IV,2.780,0.060
270,HIP 87108,HIP 87108,HD 161868,,2MASS J17475355+0242262,0,1,0,0,0,0,0,17h47m53.56s,2.707276,+02d42m26.2s,29.05,0.81,-0.86,3.750,,0.040,,A1 Vn kA0mA0,,
271,HIP 87585,HIP 87585,HD 163588,,2MASS J17533173+5652216,0,1,0,0,0,0,0,17h53m31.73s,56.872643,+56d52m21.5s,34.18,0.56,-0.58,3.750,,1.180,,K2 III,,
272,HIP 88175,HIP 88175,HD 164259,GJ 699.2,2MASS J18002899-0341250,1,1,0,0,1,0,0,18h00m28.92s,-3.690161,-03d41m24.6s,23.55,0.24,-0.23,4.620,0.020,0.370,0.020,F2IV,6.610,0.060
273,HIP 88601 A,HIP 88601 A,HD 165341,GJ 702 A,2MASS J18052735+0229585 A,1,1,1,1,0,0,0,18h05m27.21s,2.502439,+02d30m08.8s,5.10,0.05,-0.05,4.030,0.010,0.860,0.010,K0V,0.680,0.050
274,HIP 88635,HIP 88635,HD 165135,,2MASS J18054848-3025265,1,1,0,0,0,0,0,18h05m48.52s,-30.423650,-30d25m25.1s,29.70,0.30,-0.29,2.950,0.020,1.020,0.020,K0III,66.220,0.060
275,HIP 88745 A,HIP 88745 A,HD 165908,GJ 704 A,2MASS J18070158+3033434 A,1,0,1,0,0,0,0,18h07m01.61s,30.561868,+30d33m42.7s,15.64,0.16,-0.15,5.070,0.020,0.500,0.020,F7V,2.050,0.060
276,HIP 88771,HIP 88771,HD 165777,GJ 9615 A,2MASS J18072099+0933497,1,1,0,0,0,0,0,18h07m21.02s,9.563653,+09d33m49.2s,26.63,0.27,-0.26,3.700,0.020,0.140,0.020,A4IVs,20.100,0.060
277,HIP 88972,HIP 88972,HD 166620,GJ 706,2MASS J18093745+3827288,1,0,0,1,0,0,0,18h09m37.65s,38.458915,+38d27m32.1s,11.02,,,6.380,0.020,0.880,0.010,K2V,0.360,0.040
278,HIP 89042,HIP 89042,HD 165499,GJ 705.1,2MASS J18102614-6200078,1,0,0,1,0,0,0,18h10m26.26s,-62.002768,-62d00m10.0s,17.61,0.18,-0.17,5.470,0.000,0.590,0.010,G1V,1.780,0.060
279,HIP 89937,HIP 89937,HD 170153,GJ 713 A,2MASS J18210342+7243582 A,1,1,0,1,0,0,0,18h21m02.34s,72.733698,+72d44m01.3s,8.06,0.08,-0.08,3.560,0.020,0.490,0.010,F7Vvar,2.140,0.110
280,HIP 89962,HIP 89962,HD 168723,GJ 711,2MASS J18211862-0253554,1,1,0,0,0,1,0,18h21m18.92s,-2.897122,-02d53m49.6s,18.54,,,3.230,0.020,0.940,0.010,K0III-IV,19.560,0.040
281,HIP 90139,HIP 90139,HD 169414,,2MASS J18234188+2146108,0,1,0,0,0,0,0,18h23m41.89s,21.769753,+21d46m11.1s,39.37,0.98,-1.03,3.840,,1.180,,K0,,
282,HD 169830,HIP 90485,HD 169830,,2MASS J18274949-2949007,0,0,1,0,0,1,2,18h27m49.48s,-29.816866,-29d49m00.7s,36.32,1.16,-1.24,5.902,0.010,0.505,0.017,F8 V,4.590,
283,HIP 90496,HIP 90496,HD 169916,GJ 713.1,2MASS J18275824-2525175,1,1,0,0,0,0,0,18h27m58.27s,-25.421247,-25d25m16.5s,23.97,,,2.810,0.020,1.060,0.020,K1IIIB,52.220,0.060
284,HIP 91262,HIP 91262,HD 172167,GJ 721,2MASS J18365633+3847012,1,1,1,0,1,0,0,18h36m56.19s,38.782993,+38d46m58.8s,7.68,,,0.030,0.000,0.000,0.010,A0Vvar,61.000,0.050
285,HIP 91438,HIP 91438,HD 172051,GJ 722,2MASS J18385342-2103065,1,0,1,0,0,1,0,18h38m53.45s,-21.051502,-21d03m05.4s,13.08,0.13,-0.13,5.860,0.020,0.670,0.000,G5V,0.710,0.100
286,HIP 92043,HIP 92043,HD 173667,GJ 725.2,2MASS J18453972+2032466,1,1,0,0,1,1,0,18h45m39.73s,20.547124,+20d32m49.6s,19.21,,,4.190,0.020,0.470,0.020,F6V,6.720,0.100
287,HIP 92161,HIP 92161,HD 173880,,2MASS J18470124+1810531,1,1,0,0,0,0,0,18h47m01.22s,18.181230,+18d10m52.4s,28.89,0.29,-0.29,4.340,0.020,0.130,0.020,A5III,13.580,0.070
288,HD 176051,HIP 93017 A,HD 176051,GJ 738 A,2MASS J18570156+3254050 A,1,0,1,0,0,0,0,18h57m01.47s,32.901624,+32d54m05.8s,14.87,0.15,-0.15,5.280,0.020,0.550,0.020,G0V,1.500,0.100
289,HIP 93506 A,HIP 93506 A,HD 176687 A,,2MASS J19023670-2952484 A,1,1,0,0,0,0,0,19h02m36.72s,-29.880114,-29d52m48.4s,27.04,0.55,-0.53,2.600,0.010,0.060,0.020,A3IV,58.040,0.120
290,HIP 93747,HIP 93747,HD 177724,GJ 4095 A,2MASS J19052461+1351486,1,1,0,0,0,0,0,19h05m24.61s,13.863710,+13d51m49.4s,25.46,,,2.990,0.000,0.010,0.000,A0Vn,40.340,0.050
291,HIP 93825 A,HIP 93825 A,HD 177474,GJ 743.1 A,2MASS J19062517-3703485 A,1,1,0,0,0,0,0,19h06m25.04s,-37.062757,-37d03m45.9s,17.30,0.17,-0.17,4.230,0.010,0.520,0.010,F8/G0V,5.300,0.060
292,HIP 94376,HIP 94376,HD 180711,,2MASS J19123328+6739415,1,1,0,0,0,0,0,19h12m33.15s,67.661317,+67d39m40.7s,29.87,,,3.050,0.020,1.000,0.020,G9III,59.590,0.060
293,HIP 95447,HIP 95447,HD 182572,GJ 759,2MASS J19245822+1156401,1,0,1,0,0,1,0,19h24m57.77s,11.942851,+11d56m34.3s,15.18,,,5.160,0.020,0.760,0.020,G8IVvar,1.840,0.060
294,HD 181433,HIP 95467,HD 181433,GJ 756.1,2MASS J19250951-6628075,1,0,1,0,0,1,3,19h25m09.90s,-66.469371,-66d28m09.7s,26.76,0.83,-0.78,8.390,0.020,1.030,0.020,K2IV/V,0.360,0.100
295,HIP 95501,HIP 95501,HD 182640,GJ 760,2MASS J19252990+0306532,1,1,1,0,0,0,0,19h25m29.75s,3.114579,+03d06m52.5s,15.53,0.32,-0.30,3.360,0.000,0.320,0.000,F2IV,9.010,0.060
296,HIP 96100,HIP 96100,HD 185144,GJ 764,2MASS J19322153+6939413,1,1,1,1,1,1,0,19h32m20.59s,69.665402,+69d39m55.4s,5.75,0.06,-0.06,4.670,0.020,0.790,0.010,G9.0V,0.440,0.060
297,HIP 96441,HIP 96441,HD 185395,GJ 765 A,2MASS J19362654+5013155 A,1,1,0,0,1,1,0,19h36m26.54s,50.220463,+50d13m13.7s,18.34,,,4.490,0.010,0.400,0.020,F4V,4.510,0.050
298,HIP 96895,HIP 96895,HD 186408,GJ 765.1 A,2MASS J19414896+5031305,1,0,1,0,0,1,0,19h41m49.09s,50.525446,+50d31m31.6s,21.08,0.21,-0.21,5.920,0.020,0.640,0.010,G2V,1.700,0.040
299,HD 187123,HIP 97336,HD 187123,,2MASS J19465809+3425105,0,0,1,0,0,1,2,19h46m58.11s,34.419525,+34d25m10.3s,47.92,1.58,-1.69,7.832,0.011,0.656,0.019,G3 V,1.350,
300,HIP 97649,HIP 97649,HD 187642,GJ 768,2MASS J19504698+0852060,1,1,1,0,1,0,0,19h50m46.68s,8.867385,+08d52m02.6s,5.12,0.05,-0.05,0.760,0.010,0.220,0.010,A7IV-V,10.650,0.050
301,HIP 98036,HIP 98036,HD 188512,GJ 771 A,2MASS J19551878+0624238 A,1,1,1,0,0,1,0,19h55m18.77s,6.407933,+06d24m28.6s,13.70,,,3.710,0.020,0.860,0.010,G8IVvar,6.290,0.060
302,HIP 98495,HIP 98495,HD 188228,,2MASS J20003558-7254380,0,1,0,0,0,0,0,20h00m35.55s,-72.910507,-72d54m37.8s,32.54,0.57,-0.59,3.960,,-0.030,,A0 Va,,
303,HD 190360,HIP 98767,HD 190360,GJ 775,2MASS J20033732+2953493,1,1,1,0,0,1,2,20h03m36.95s,29.898079,+29d53m53.1s,15.86,0.16,-0.16,5.730,0.020,0.750,0.000,G6IV+...,1.200,0.060
304,HIP 99240,HIP 99240,HD 190248,GJ 780,2MASS J20084376-6610563,1,1,1,1,0,0,0,20h08m41.86s,-66.179321,-66d10m45.6s,6.11,0.06,-0.06,3.530,0.020,0.760,0.020,G8.0IV,1.330,0.060
305,HIP 99461,HIP 99461,HD 191408,GJ 783 A,2MASS J20111207-3606063 A,1,1,1,1,0,1,0,20h11m11.61s,-36.097384,-36d05m50.6s,6.01,0.06,-0.06,5.320,0.020,0.860,0.020,K2.5V,0.280,0.100
306,HD 192310,HIP 99825,HD 192310,GJ 785,2MASS J20151734-2701585,1,0,1,0,1,1,2,20h15m16.58s,-27.032536,-27d01m57.1s,8.91,,,5.720,0.020,0.910,0.020,K3V,0.420,0.060
307,HIP 100017,HIP 100017,HD 193664,GJ 788,2MASS J20173128+6651130,1,0,0,1,0,0,0,20h17m30.63s,66.852966,+66d51m10.7s,17.57,,,5.920,0.020,0.590,0.020,G3V,1.180,0.100
308,HD 196067,HIP 102125,HD 196067,,2MASS J20414409-7521029,0,1,0,0,0,1,1,20h41m44.09s,-75.350800,-75d21m02.9s,43.57,3.65,-4.39,6.030,,0.620,,G1 V,3.730,
309,HIP 102333,HIP 102333,HD 197157,GJ 4158,2MASS J20440233-5155155,1,1,0,0,0,0,0,20h44m02.19s,-51.920841,-51d55m15.0s,24.17,0.24,-0.24,4.500,0.020,0.280,0.000,A7III/IV,7.610,0.100
310,HIP 102422,HIP 102422,HD 198149,GJ 807,2MASS J20451737+6150199,1,1,1,0,0,0,0,20h45m17.27s,61.836794,+61d50m12.5s,14.27,,,3.410,0.020,0.910,0.000,K0IV,9.370,0.060
311,HIP 102431,HIP 102431,HD 198084,GJ 9706,2MASS J20452110+5734469,1,1,0,0,0,0,0,20h45m21.20s,57.580298,+57d34m49.1s,27.29,0.28,-0.27,4.520,0.000,0.540,0.010,F8IV-V,10.110,0.110
312,HIP 102485,HIP 102485,HD 197692,GJ 805,2MASS J20460572-2516153,1,1,1,0,1,0,0,20h46m05.77s,-25.270517,-25d16m13.9s,14.68,,,4.130,0.000,0.430,0.010,F5V,4.060,0.100
313,HIP 102488,HIP 102488,HD 197989,GJ 806.1 A,2MASS J20461266+3358128,1,1,0,0,0,0,0,20h46m12.43s,33.969453,+33d58m10.0s,22.29,,,2.450,0.020,1.020,0.020,K0III,60.040,0.060
314,HIP 104214,HIP 104214,HD 201091,GJ 820 A,2MASS J21065341+3844529,1,1,1,1,1,1,0,21h06m50.84s,38.741494,+38d44m29.4s,3.50,,,5.200,0.010,1.070,0.020,K5.0V,0.130,0.100
315,HIP 104217,HIP 104217,HD 201092,GJ 820 B,2MASS J21065473+3844265,1,0,1,0,1,1,0,21h06m52.19s,38.734414,+38d44m03.9s,3.50,,,5.950,0.020,1.300,0.020,K7.0V,0.100,0.100
316,HIP 104239 A,HIP 104239 A,HD 200968,GJ 819 A,2MASS J21071037-1355224,1,0,0,1,0,0,0,21h07m10.15s,-13.922816,-13d55m22.1s,17.57,0.18,-0.17,7.190,0.020,0.900,0.010,K1V,0.440,0.110
317,HIP 104858 A,HIP 104858 A,HD 202275 A,GJ 822 A,2MASS J21142881+1000249 A,1,1,0,0,0,0,0,21h14m28.79s,10.007719,+10d00m27.8s,18.49,0.19,-0.18,4.470,0.010,0.530,0.020,F5V+...,4.790,0.060
318,HIP 104887 A,HIP 104887 A,HD 202444,GJ 822.1 A,2MASS J21144746+3802429 A,1,1,0,0,0,0,0,21h14m47.35s,38.044320,+38d02m39.6s,20.34,0.21,-0.20,3.740,0.000,0.390,0.000,F1IV,11.130,0.050
319,HIP 105090,HIP 105090,HD 202560,GJ 825,2MASS J21171534-3852022,1,0,0,1,0,0,0,21h17m17.71s,-38.864575,-38d51m52.5s,3.95,,,6.690,0.000,1.400,0.000,K9.0V,0.080,0.100
320,HIP 105199,HIP 105199,HD 203280,GJ 826,2MASS J21183475+6235081,1,1,1,0,1,0,0,21h18m34.58s,62.585455,+62d35m07.6s,15.04,,,2.430,0.020,0.240,0.020,A7IV-V,19.930,0.060
321,HIP 105312 A,HIP 105312 A,HD 202940,GJ 825.4 A,2MASS J21194564-2621100 A,1,0,0,1,0,0,0,21h19m46.00s,-26.352011,-26d21m07.2s,17.97,0.18,-0.18,6.560,0.010,0.740,0.020,G5V,0.780,0.040
322,HIP 105858,HIP 105858,HD 203608,GJ 827,2MASS J21262662-6521578,1,1,1,1,0,0,0,21h26m26.49s,-65.368144,-65d22m05.3s,9.26,,,4.220,0.020,0.470,0.020,F7V,1.540,0.060
323,HD 204941,HIP 106353,HD 204941,,2MASS J21322353-2057264,1,0,1,0,0,1,1,21h32m23.68s,-20.957119,-20d57m25.6s,26.90,0.83,-0.78,8.450,0.000,0.880,0.000,K1/2V,0.320,0.070
324,GJ 832,HIP 106440,HD 204961,GJ 832,2MASS J21333397-4900323,1,1,1,0,0,1,2,21h33m34.02s,-49.007018,-49d00m25.3s,4.95,,,8.670,0.010,1.500,0.010,M1.5V,0.030,0.090
325,HIP 107089,HIP 107089,HD 205478,GJ 835.1,2MASS J21412863-7723243,1,1,0,0,0,0,0,21h41m28.47s,-77.389462,-77d23m22.1s,21.20,0.88,-0.82,3.730,0.020,1.020,0.020,K0III,17.910,0.150
326,HIP 107310 A,HIP 107310 A,HD 206826,GJ 836.6 A,2MASS J21440853+2844336 A,1,1,0,0,0,0,0,21h44m08.40s,28.743222,+28d44m35.6s,22.24,0.22,-0.22,4.690,0.020,0.450,0.020,F6V,5.780,0.060
